name,price,listings
Ethereal: Butterfly Romp,$ 1.35,16 on sale
Autographed Transversant Soul,$ 0.73,27 on sale
Icewrack Marauder,$ 4.57,18 on sale
Frostshard Ascendant,$ 4.71,12 on sale
Siege of the Arctic Hall,$ 5.78,13 on sale
Iceplain Ravager,$ 5.8,10 on sale
Elder Convergence,$ 7.83,10 on sale
Apex Explorer,$ 7.39,10 on sale
Eiritel Autograph Avatar - The International 2021,$ 0.45,13 on sale
Surge,$ 1.54,4 on sale
Blade of Odocoeleus,$ 0.16,7 on sale
Inscribed Festive Robes of Good Fortune,$ 0.49,3 on sale
Scythe of Pestilence,$ 0.61,5 on sale
Autographed Span of Black Nihility,$ 0.71,6 on sale
Genuine Grand Belt of the Witch Hunter Templar,$ 9.75,10 on sale
Autographed Pauldrons of Zebulon,$ 1.24,5 on sale
Crest of the Honored Servant of the Empire,$ 1.71,11 on sale
Cluster of Chronoptic Synthesis,$ 0.25,10 on sale
Treasure of the Spring Blossom,$ 0.28,57 on sale
Marauder's Reflection,$ 0.94,2 on sale
Narcissistic Leech,$ 1.25,6 on sale
Concealed Raven,$ 1.1,3 on sale
Chimera's Rage,$ 0.95,22 on sale
Inscribed Bombtrails and Boomsticks Spoon,$ 1.41,2 on sale
Inscribed Bracers of the Andestian Sentinel,$ 1.41,3 on sale
Legs of the Elusive Destroyer,$ 0.31,6 on sale
Inscribed Mysterious Vagabond's Hat,$ 0.2,2 on sale
Inscribed Chain Frost Triple Kills,$ 0.81,8 on sale
International 2016 Autograph: Du 78 Junnan,$ 0.38,4 on sale
Autographed White Sentry,$ 0.64,21 on sale
Heroic Kraken's Bane,$ 0.8,6 on sale
International 2019 Autograph: Zhang 'xiao8' Ning,$ 0.25,9 on sale
Inscribed Corpsemaker,$ 0.25,5 on sale
Autographed Frozen Formation,$ 2.82,8 on sale
Inscribed Tome of the Itinerant Scholar,$ 2.34,2 on sale
International 2017 Autograph: Litt 'Winter' Chan,$ 0.33,1 on sale
Inscribed Wings of the Fireflight Scion,$ 0.25,6 on sale
Stone Dragon Soul,$ 0.2,10 on sale
Garb of the First Ways,$ 0.18,11 on sale
Inscribed Wraithbinder,$ 0.51,18 on sale
Autographed Symbol of the King Restored,$ 0.95,8 on sale
Moon Whirl,$ 1.09,16 on sale
Inscribed Magus Accord,$ 6.79,27 on sale
Inscribed Dark Artistry Hair,$ 6.76,12 on sale
Rider of the Storm Set,$ 0.53,21 on sale
Rei da Mesa,$ 4.07,4 on sale
Genuine Paraflare Cannon,$ 1.59,14 on sale
Inscribed Burning scepter of the Antipodeans,$ 1.16,7 on sale
Inscribed El Gato,$ 0.47,7 on sale
Autographed Jagged Honor Bracer,$ 2.81,5 on sale
Autographed Zeal of Omoz Arkosh,$ 0.41,8 on sale
Fractured Sword,$ 0.49,14 on sale
Heroic Spines of the Dreadful Abyss,$ 0.31,3 on sale
Inscribed Staff of the Demon Trickster,$ 3.27,9 on sale
Vestments of the Fallen Princess,$ 2.55,10 on sale
Inscribed Timberthaw,$ 0.31,11 on sale
Writ of the Royal Butcher,$ 3.46,4 on sale
Dress of the Fae Forager,$ 0.32,13 on sale
Winter 2017 Treasure III,$ 1.21,191 on sale
Autographed Mania's Mask,$ 3.58,37 on sale
Inscribed Monarch of the Sapphire Glen,$ 0.78,26 on sale
International 2017 Autograph: Chen AMS Juan,$ 0.25,42 on sale
Pterois of the Coastal Kingdom,$ 2.28,40 on sale
Onyx Lotus,$ 0.43,11 on sale
Inscribed Kraken Shell,$ 0.63,4 on sale
International 2019 Autograph: Bing 'kiko' Quan,$ 0.47,2 on sale
Kimono of the Ebony Tower,$ 0.18,10 on sale
Horns of the Surging Wind,$ 0.2,11 on sale
Inscribed Aspect of the Year Beast,$ 0.35,9 on sale
ViCi Gaming Hud Skin,$ 0.57,17 on sale
Razzil's Midas Knuckles,$ 1.48,131 on sale
Inscribed Spear of Reckless Vigor,$ 0.6,2 on sale
Inscribed Plunder of the High Seas,$ 0.63,20 on sale
Chimes of the Temple,$ 1,10 on sale
Cogwatch Captain,$ 0.58,19 on sale
Brumal Berserker,$ 0.67,8 on sale
Inscribed Dark Artistry Belt,$ 5.97,13 on sale
Grievous Ingots,$ 1.38,5 on sale
The Wonderously Encumbered Travelling Automaton,$ 1.07,3 on sale
Kinetic: Empyrean,$ 0.75,26 on sale
Mei Nei the Jade Rabbit,$ 1.26,5 on sale
Arcane Staff of the Ancients,$ 0.33,14 on sale
Autograph: Jeremy Klein,$ 0.57,1 on sale
Demonic Essence,$ 0.45,3 on sale
Woodchopper,$ 0.62,1 on sale
Auspicious Form of the Onyx Grove,$ 0.6,3 on sale
Kinetic: Dizzying Punch!,$ 0.92,25 on sale
Autographed Paragon's Rebuke,$ 0.65,10 on sale
Inscribed Kills While Enraged,$ 0.19,14 on sale
Inscribed Whisky the Stout Artifact,$ 8.99,17 on sale
Jumo,$ 7.17,26 on sale
Inscribed Mark of the Mistral Fiend,$ 0.28,10 on sale
International 2017 Autograph: Jake 'SirActionSlacks' Kanner,$ 0.57,2 on sale
Genuine Dam'arakan Muzzle,$ 5.79,9 on sale
Pauldrons of the Honored Servant of the Empire,$ 1.18,16 on sale
Surgical Precision,$ 1.92,11 on sale
Beetlejaws the Boxhound,$ 0.3,15 on sale
Static Lord,$ 0.21,20 on sale
Might of the Thunder Ram,$ 0.26,17 on sale
Promise of the First Dawn,$ 1.06,21 on sale
Hazhadal Magebreaker,$ 1.85,10 on sale
Autographed Bow of the Lone Traveler,$ 0.9,15 on sale
Crown of the Wintermoon,$ 0.21,12 on sale
Shotgun Sling of the Darkbrew Enforcer,$ 3.79,17 on sale
Inscribed Mark of the First Hunt,$ 0.57,17 on sale
Frost of Elder Convergence,$ 0.37,21 on sale
Autographed Sullen Hollow,$ 7.37,4 on sale
The Undying Light,$ 3.5,9 on sale
Inscribed Armguards of Twisted Maelstrom,$ 0.62,4 on sale
Blueheart Tails,$ 0.17,11 on sale
Inscribed Cog of the Mechanised Pilgrim,$ 0.62,4 on sale
Confidant of the Saccharine Saboteur,$ 3.81,12 on sale
Inscribed Stuntwood Sanctuary,$ 0.37,16 on sale
Inscribed Wings of the Valkyrie,$ 0.45,6 on sale
Inscribed Shoulders of the Valkyrie,$ 0.78,5 on sale
Inscribed Dress of the Allure,$ 0.78,3 on sale
Inscribed Off-Hand Blade of the Partisan Guard,$ 0.59,3 on sale
Inscribed Robe of the Plaguemonger,$ 0.78,3 on sale
Inscribed Naginata of the Allure Off-Hand,$ 0.62,2 on sale
Autographed Helm of the Ferocious Heart,$ 0.68,3 on sale
Edge of Extinction,$ 0.46,9 on sale
Inscribed Top Hat of the Occultist's Pursuit,$ 2.66,2 on sale
Harsh Sojourn,$ 5.69,14 on sale
Autographed Trail of the Fearful Aria,$ 1.09,5 on sale
Inscribed Butch,$ 0.79,1 on sale
Autographed The Gates of Nothl,$ 0.85,3 on sale
Foreteller's Oath,$ 2.47,11 on sale
Iceborn Trinity,$ 0.4,18 on sale
Featherswing,$ 0.81,16 on sale
March of the Powderkeg Patrol,$ 4.38,3 on sale
Order of the Silvered Talon,$ 7.46,8 on sale
Rambling Fatebender,$ 1.38,10 on sale
Spine Splitter,$ 0.18,4 on sale
Tales of the Grey Wastes,$ 4.23,9 on sale
Master Necromancer,$ 1.23,5 on sale
The Plaguemonger,$ 1.25,6 on sale
Gloves of the Hunt Eternal,$ 0.18,6 on sale
Complete Feathered Hat of the Corridan Maestro,$ 0.23,3 on sale
Loading Screen of the Complete Corridan Maestro,$ 0.28,3 on sale
Northern Blight Belt,$ 0.18,5 on sale
Helm of the Lionsguard,$ 0.23,13 on sale
Crawlers of the Frostbite Dunes,$ 0.85,3 on sale
Master Artificer's Hammer,$ 0.66,22 on sale
Helm of Grim Reformation,$ 1.74,19 on sale
Corrupted Paragon's Rebuke,$ 7.07,2 on sale
Golden International 2015 Autograph: 'Ams',$ 5.41,11 on sale
Inscribed Totem of the Forest Hermit,$ 0.89,3 on sale
Combine of the Loomkeeper,$ 1.38,19 on sale
Na'Vi's Weaselcrow,$ 0.52,12 on sale
Inscribed Doomling,$ 1.4,9 on sale
Baekho,$ 1.84,14 on sale
Genuine Red General's Soul Splitter,$ 1.16,8 on sale
Inscribed Mantle of the Whispered Bond,$ 1.11,25 on sale
Autographed Peregrine Flight,$ 1.4,10 on sale
Autographed Golden Bloodfeather Feast,$ 1.57,15 on sale
Inscribed Incandescent Liturgy,$ 1.19,3 on sale
Heroic Doubly Braided Beard,$ 4.09,1 on sale
Inscribed Bracers of the Tipsy Brawler,$ 1.14,3 on sale
Inscribed Crests of Polymorphia,$ 2.42,2 on sale
Inscribed Mantle of the Smoldering Sage,$ 1.04,4 on sale
Inscribed Red Dragon Shoulders,$ 1.79,2 on sale
Inscribed Pauldron of the Barrier Rogue,$ 2.1,2 on sale
Autographed Style of the Fervent Conscript,$ 0.75,3 on sale
Inscribed Steamcape,$ 0.97,8 on sale
Autographed Lamb to the Slaughter,$ 5.08,22 on sale
Inscribed Wraith of the Winter Revenant,$ 0.64,3 on sale
Autographed Iron Surge,$ 1.49,19 on sale
Inscribed The Song of Swiftguard - Finery,$ 0.85,3 on sale
Inscribed Golem of Dirgesworn Dynasty,$ 0.57,3 on sale
Inscribed Arm of the Dragon's Disciple,$ 0.67,3 on sale
Inscribed Mask of the Freelancer,$ 0.41,6 on sale
Inscribed Sigil of the Barrier Rogue,$ 0.51,3 on sale
Inscribed Ward of the Fatal Bloom,$ 0.77,4 on sale
Autographed Shade of Anguish,$ 0.27,4 on sale
Formed Alloy Set,$ 0.17,10 on sale
Inscribed Blade of the Partisan Guard,$ 0.59,3 on sale
Genuine Lich Scythe of the Master Necromancer,$ 1.39,1 on sale
Spirethorn Regalia,$ 1.38,9 on sale
Wisdom of the Midnight Sun,$ 4.28,9 on sale
Skyfire Apostate,$ 1.06,8 on sale
Northern Blight,$ 5.37,8 on sale
Flightless Fury,$ 1.36,9 on sale
Enduring Solitude,$ 1.14,18 on sale
The Dwarf Engineer,$ 0.81,18 on sale
Crown of the Rime Lord,$ 0.19,10 on sale
Treasure of the Mender's Palm,$ 0.33,84 on sale
Order of the Wandering Flame,$ 1.82,5 on sale
Corrupted Primal Form of the Tentacular Timelord,$ 4.72,2 on sale
Black Ice Scourge,$ 1.55,16 on sale
Inscribed Provocation of Ruin Ward,$ 6.13,5 on sale
Inscribed Flight of Epiphany,$ 0.26,9 on sale
Autograph: Oleg 'prb' Bulavko,$ 0.33,1 on sale
Arc of the Sovereign,$ 4.22,31 on sale
Treasure Redemption Token,$ 7.84,10 on sale
Autographed Magnificent Flame,$ 1.91,12 on sale
Relentless Warbringer,$ 5,1 on sale
Gloves of the Hunt Eternal,$ 0.18,6 on sale
Complete Feathered Hat of the Corridan Maestro,$ 0.23,3 on sale
Loading Screen of the Complete Corridan Maestro,$ 0.28,3 on sale
Northern Blight Belt,$ 0.18,5 on sale
Helm of the Lionsguard,$ 0.23,13 on sale
Crawlers of the Frostbite Dunes,$ 0.85,3 on sale
Master Artificer's Hammer,$ 0.66,22 on sale
Helm of Grim Reformation,$ 1.74,19 on sale
Corrupted Paragon's Rebuke,$ 7.07,2 on sale
Golden International 2015 Autograph: 'Ams',$ 5.41,11 on sale
Inscribed Totem of the Forest Hermit,$ 0.89,3 on sale
Combine of the Loomkeeper,$ 1.38,19 on sale
Na'Vi's Weaselcrow,$ 0.52,12 on sale
Inscribed Doomling,$ 1.4,9 on sale
Baekho,$ 1.84,14 on sale
Genuine Red General's Soul Splitter,$ 1.16,8 on sale
Inscribed Mantle of the Whispered Bond,$ 1.11,25 on sale
Autographed Peregrine Flight,$ 1.4,10 on sale
Autographed Golden Bloodfeather Feast,$ 1.57,15 on sale
Inscribed Incandescent Liturgy,$ 1.19,3 on sale
Frozen Spike of Frostbite,$ 0.16,1 on sale
Blade of the Dark Reservoir,$ 0.6,19 on sale
Effigy Block of Frost,$ 0.16,3 on sale
Monty,$ 0.34,15 on sale
Inscribed Guard of the Tundra Warden,$ 0.28,9 on sale
Inscribed 4X Multicast Ignites,$ 0.94,12 on sale
Inscribed Salvaged Sword and Board,$ 0.16,8 on sale
Inscribed Echo the Locator,$ 0.71,4 on sale
Inscribed Pike of the Sunken Gaoler,$ 0.55,2 on sale
Corridan Maestro,$ 1.41,18 on sale
Inscribed Tiny Elemental Ice,$ 0.23,4 on sale
Treasure of the Carmine Cascade,$ 2.22,27 on sale
Twilight's Rest,$ 1.13,9 on sale
Garb of the Darkbrew Enforcer,$ 1.35,10 on sale
Blaze Armor,$ 0.24,3 on sale
Ensemble of the Crystalline Comet,$ 0.28,28 on sale
Ethereal Monarch,$ 0.59,9 on sale
Autographed Gravelmaw,$ 0.81,31 on sale
Heroic Effigy of Fame,$ 0.62,80 on sale
Forbidden Knowledge,$ 0.68,3 on sale
Auspicious Arms of the Master Weaver,$ 1.05,1 on sale
Radiant Crystal Haul,$ 0.31,2 on sale
Sempiternal Revelations Belt,$ 0.24,13 on sale
DotaCinema HUD,$ 0.24,3 on sale
Inscribed Little Green Jade Dragon,$ 1.08,3 on sale
Inscribed Redpaw,$ 0.27,1 on sale
Inscribed Whalehook,$ 1.95,26 on sale
Midnight Locks,$ 0.43,3 on sale
Helm of the Keeper's Gaze,$ 0.35,6 on sale
Northern Blight Spirits,$ 0.24,3 on sale
Serac the Seal,$ 0.54,16 on sale
Infused Slab of Erupting Wrath,$ 0.23,4 on sale
Powdersled Rookery Spleen,$ 0.43,5 on sale
Floe's Tower Ward,$ 0.85,12 on sale
Powdersled Rookery Squee,$ 0.32,2 on sale
Armor of the Arctic Hall,$ 0.33,14 on sale
Coat of the Forgotten Renegade,$ 0.47,10 on sale
Head of the Odobenus One,$ 0.26,13 on sale
Hook of the Odobenus One,$ 0.17,10 on sale
Hair of Black Ice Scourge,$ 0.72,18 on sale
Cursed Restraint of the Mad Harvester,$ 3.53,1 on sale
Frozen Nails in the Mad Harvester,$ 3.78,1 on sale
Roshan's Rage Loading Screen,$ 6.88,6 on sale
Genuine Bloodlust Fork,$ 3.67,15 on sale
Autographed Edict of Shadows,$ 0.63,6 on sale
International 2016 Autograph: Vladimir 'PGG' Anosov,$ 1.04,1 on sale
Living Nelum,$ 0.16,8 on sale
Mountain Splitter,$ 0.28,1 on sale
Genuine Gauntlets of the Wurmblood,$ 0.21,4 on sale
Visage of Ribbi'tar,$ 0.17,12 on sale
Genuine Helm of the Wurmblood,$ 0.24,1 on sale
International 2015 Autograph: Paul 'Redeye' Chaloner,$ 0.28,4 on sale
Techies' Bombastic Box,$ 0.29,8 on sale
Genuine Tassets of the Wurmblood,$ 0.37,2 on sale
Wraps of the Stormcharge Dragoon,$ 0.41,9 on sale
Cursed Zealot,$ 0.47,17 on sale
Genuine Lance of the Wurmblood,$ 0.92,6 on sale
Shadows of the Wuxia,$ 1.41,1 on sale
Regime of the Enthaleen Dragon,$ 1.54,9 on sale
Clandestine Trail,$ 2.88,14 on sale
Inscribed Lumberclaw,$ 1.26,1 on sale
Inscribed Umbral Descent,$ 1.24,2 on sale
Enveloping Despair,$ 0.55,11 on sale
Inscribed Oath of the Afflicted Soul,$ 1.26,1 on sale
Inscribed Vespertine Guard,$ 2.36,2 on sale
Inscribed Wrath of the Hellrunner,$ 0.78,3 on sale
Lord of Chronoptic Synthesis,$ 1.41,5 on sale
Frost Auburn Hideaway,$ 0.58,44 on sale
Inscribed Tools of the Final Utterance,$ 1.73,1 on sale
Elemental Realms,$ 1.57,6 on sale
Raiments of Twilight Shade,$ 3.67,3 on sale
Flight of the Marauding Pyro,$ 1.89,1 on sale
Inscribed Reminiscence of Dreams,$ 2.83,2 on sale
Magister of the Narrow Fates,$ 2.24,8 on sale
Compact of the Guardian Construct,$ 2.92,9 on sale
The Path of Odocoeleus,$ 6.98,8 on sale
Corrupted Icewrack's Fist,$ 7.95,3 on sale
Cruel Reprisal,$ 1.38,16 on sale
Corrupted Twisted Ghostblade of the Frozen Apostle,$ 2.81,7 on sale
Inscribed Shagbark,$ 0.31,4 on sale
Cape of Heavenly Light,$ 1.49,3 on sale
Raider's Patch,$ 0.63,3 on sale
Pit Boss Prospector,$ 0.63,7 on sale
Heroic Hat of Fortune,$ 0.16,4 on sale
Genuine Promo Burning Iron,$ 1.36,7 on sale
Autographed Thirst of Eztzhok Blade,$ 2.32,9 on sale
International 2019 Autograph: Helen 'XiiTuzi' Xu,$ 0.86,10 on sale
International 2018 Autograph: Helen 'XiiTuzi' Xu,$ 0.88,9 on sale
Kinetic: Bladebiter's Strike,$ 2.11,11 on sale
Elixir of Dragon's Breath,$ 1.22,27 on sale
Inscribed Penumbral Warblade,$ 0.88,2 on sale
Invokation,$ 0.35,9 on sale
Inscribed Headpiece of the Wuxia,$ 0.3,1 on sale
Inscribed Armor of the Dragon Palace,$ 0.43,4 on sale
Arcane Infestation,$ 0.23,29 on sale
The Leech Queen,$ 0.24,33 on sale
Mantle of the Prophet Foretold,$ 0.7,19 on sale
Complete Staff of the Manticore,$ 0.96,11 on sale
Corrupted Scavenging Guttleslug,$ 7.47,2 on sale
Autographed Belt of the King Restored,$ 1.56,5 on sale
Swooping Elder,$ 5.29,5 on sale
Cruel Assemblage Armor,$ 7.8,4 on sale
Heroic Sigil of the Tahlin Watch,$ 1.6,1 on sale
Heroic Commodore's Curtains,$ 0.88,1 on sale
Heroic Emerald Frenzy Amulet,$ 3.14,2 on sale
Heroic Ye Olde Pipe,$ 1.23,9 on sale
Lakad Coconut of the Emerald Insurgence,$ 2.73,9 on sale
Kindred of the Umizar Crawler,$ 1.88,15 on sale
Rekindled Ashes,$ 6.29,4 on sale
Auspicious Hairstyle of the Eastern Range,$ 0.87,2 on sale
Genuine Supreme Bracers of the Warboss,$ 0.71,9 on sale
Genuine Supreme Belt of the Warboss,$ 1.32,7 on sale
Genuine Supreme Pauldrons of the Warboss,$ 0.99,9 on sale
Inscribed Crucible of Rile,$ 0.31,7 on sale
Cape of Zebulon,$ 0.18,10 on sale
Mask of Zebulon,$ 0.9,39 on sale
Belt of Harsh Sojourn,$ 0.27,25 on sale
Pauldrons of Harsh Sojourn,$ 0.19,5 on sale
Arms of Harsh Sojourn,$ 0.35,3 on sale
Head of the Raidforged Rider,$ 0.47,21 on sale
Garb of the Arctic Owlbear Clan,$ 0.18,5 on sale
Companion of the Arctic Owlbear Clan,$ 0.18,4 on sale
Inscribed Crimsonwing Slayer Wings,$ 2.55,3 on sale
Sacred Light,$ 1.39,13 on sale
Fatal Bloom,$ 2.03,7 on sale
Lucid Torment,$ 4.01,7 on sale
Auspicious Announcer: GLaDOS,$ 0.39,4 on sale
Speed Demon,$ 0.23,3 on sale
Evergreen Stalker,$ 0.25,5 on sale
Plunder of the High Seas,$ 0.78,9 on sale
Golden Treasures,$ 0.31,6 on sale
Inscribed Off-Hand Sword of the Smoldering Sage,$ 2.51,1 on sale
Heroic Sword of the Eleven Curses,$ 0.21,4 on sale
Corrupted Golden Fortune's Tout,$ 6.17,12 on sale
Unusual Voracious Greevil,$ 0.97,57 on sale
Inscribed Jade Talon,$ 0.31,6 on sale
Genuine Mountain Splitter,$ 0.23,12 on sale
Corrupted Scythes of Sorrow,$ 3.77,9 on sale
Inscribed Ball-n-Chains of the Black Death,$ 1.57,1 on sale
Inscribed Compendium Rider of Avarice,$ 0.16,16 on sale
Virulent Matriarch's Boils,$ 0.23,5 on sale
Virulent Matriarch's Back,$ 0.21,10 on sale
Virulent Matriarch's Head,$ 0.24,7 on sale
Virulent Matriarch's Legs,$ 0.63,8 on sale
Autographed Midnight Locks,$ 0.57,2 on sale
Inscribed Blackshield Protodrone Armor,$ 1.3,7 on sale
Auspicious Skittering Lotus,$ 0.79,1 on sale
Helm of the Longbeard Dwarf Engineer,$ 0.87,5 on sale
Inscribed Furyblade,$ 2.64,1 on sale
Harvest's Hound,$ 5.15,13 on sale
Shambling Draug,$ 5.17,7 on sale
The Boreal Sentinel,$ 4.72,13 on sale
Guardian of the Sapphire Flame,$ 4.28,18 on sale
Bite of the Surging Wind,$ 2.55,27 on sale
Ruler of the Frostbite Dunes,$ 5.48,9 on sale
Inscribed The International 2016 HUD,$ 0.58,8 on sale
Pack-Ice Privateer,$ 4.9,9 on sale
Hunter's Dawn,$ 5.34,12 on sale
Treasure of the Forged Fury,$ 0.39,30 on sale
Corrupted Ainidul the Eternal,$ 2.96,9 on sale
Inscribed The Fearmaker,$ 0.33,7 on sale
Spring's Lilium Crown,$ 0.79,1 on sale
Inscribed Belt of the King Restored,$ 1.87,7 on sale
Armor of the Guardian of the Sapphire Flame,$ 0.16,4 on sale
Belt of the Guardian of the Sapphire Flame,$ 0.17,8 on sale
Utter Eradication,$ 0.18,6 on sale
Visage of the Midnight Sun,$ 0.21,17 on sale
Head of Harvest's Hound,$ 0.2,11 on sale
Arms of the Surging Wind,$ 0.24,4 on sale
Ethereal: Felicity's Blessing,$ 0.28,12 on sale
Commander's Helm of the Flameguard,$ 0.95,19 on sale
Radiant Crystal Bracer,$ 0.45,3 on sale
Auspicious Augur's Hair,$ 0.52,1 on sale
Manual of Fearsome Moves,$ 0.55,19 on sale
Belt of Harvest's Hound,$ 0.2,4 on sale
Inscribed Arsenal Forge,$ 1.57,1 on sale
Immortal Treasure II 2016,$ 6.92,41 on sale
Genuine Midas Knuckles,$ 7.86,4 on sale
Treasure of the Fallen Cinder,$ 2.5,16 on sale
Autographed The Barren Crown,$ 0.93,16 on sale
Armor of the Winter Rose,$ 0.4,4 on sale
Inscribed Chalice of Ix'yxa,$ 0.37,15 on sale
Heroic Beard of Cycles,$ 1.18,2 on sale
Genuine Hookblade of Skadi,$ 1.29,21 on sale
Shoulder of the Apex Explorer,$ 0.16,4 on sale
Vest of the Devilish Conjurer,$ 0.17,9 on sale
Statue of the Frozen Star,$ 0.17,8 on sale
Auspicious Mega-Kills: Lina,$ 0.18,2 on sale
Helm of Rising Fury,$ 0.19,16 on sale
Sleeves of the Warhawk Vestiments,$ 0.26,2 on sale
Inscribed Serpent of Shamanic Light,$ 1.47,2 on sale
Genuine Corset of the Master Thief,$ 0.31,9 on sale
Arcane Defiance,$ 0.47,11 on sale
Crimson Beast,$ 0.31,29 on sale
Inscribed Jagged Honor Legs,$ 7.55,9 on sale
Inscribed Judgement of the Fallen,$ 0.28,28 on sale
Inscribed Hood of Glorious Inspiration,$ 0.45,3 on sale
Mantle of the Stormcharge Dragoon,$ 0.4,4 on sale
Inscribed Etienne's Revenge,$ 4.43,12 on sale
Inscribed Reaper of the Deep,$ 0.26,5 on sale
Form of Ambry,$ 1.47,10 on sale
Head of Ambry,$ 0.31,9 on sale
Heavy Plate of Ambry,$ 0.85,5 on sale
Autographed Huntling,$ 1.24,7 on sale
Inscribed Arc of Manta - Off-Hand,$ 0.58,14 on sale
Inscribed Arc of Manta,$ 0.58,9 on sale
Inscribed Eternal Jian of Fortune,$ 0.2,5 on sale
Autographed Crown of the Ageless Fae,$ 3.93,1 on sale
Reef Kyte Rider,$ 0.17,52 on sale
Treasure of the Cannon's Fuse,$ 0.38,41 on sale
Erupting Wrath,$ 2.39,19 on sale
Algid Falcon,$ 0.98,22 on sale
Snowpack Savage,$ 1.33,15 on sale
Genuine Primal Paean,$ 1.6,3 on sale
Iron Hog,$ 2.67,4 on sale
Sign of the Netherfrost,$ 2.67,8 on sale
Nyx Assassin's Dagon,$ 7.84,7 on sale
Regalia of the Parasol's Sting,$ 0.44,20 on sale
Heroic Shadow Tracers,$ 0.16,6 on sale
Heroic Eki Bukaw Bracers,$ 0.16,9 on sale
Inscribed Axe of the Warboss,$ 0.63,2 on sale
Autographed Baby Roshan,$ 4.23,14 on sale
Genuine Lich Guise of the Master Necromancer,$ 1.17,2 on sale
Autographed Twilight Schism,$ 0.77,5 on sale
Inscribed Golden Fortune's Tout,$ 2.04,20 on sale
Corrupted Crimson Pique,$ 4.7,6 on sale
Genuine Claws of the Red Sand Warrior,$ 1.26,1 on sale
Genuine Tail of the Red Sand Warrior,$ 0.99,12 on sale
Autographed Crown of Tears,$ 0.55,9 on sale
Genuine Pin: Io,$ 7.55,4 on sale
Lord of the Scouring Dunes,$ 1.47,9 on sale
Favors of the Shamanic Light,$ 1.63,3 on sale
The Fractured Order,$ 0.77,10 on sale
Genuine Boots of the Divine Anchor,$ 0.57,1 on sale
Payload of the Vespidun Hunter-Killer,$ 2.99,1 on sale
Armaments of the Vespidun Hunter-Killer,$ 0.19,6 on sale
Propellers of the Vespidun Hunter-Killer,$ 1.08,6 on sale
Inscribed Pelt of Odocoeleus,$ 1.01,2 on sale
Inscribed Snowball Stinger,$ 0.55,8 on sale
Monument of Ruin,$ 0.99,59 on sale
Inscribed Crown of Malice,$ 0.63,2 on sale
Shard of the Lost Star,$ 2.77,8 on sale
Toll of the Fearful Aria,$ 7.58,6 on sale
Point of Vile Convocation,$ 0.28,18 on sale
Wings of the Fae Forager,$ 0.34,9 on sale
Hood of the Forsaken Flame,$ 0.2,9 on sale
Inscribed Antipode Couriers,$ 0.22,14 on sale
Stone Infusion,$ 0.79,13 on sale
Fallen Sight,$ 0.5,12 on sale
Heroic Izoku,$ 0.71,15 on sale
Corrupted Raider's Patch,$ 3.35,7 on sale
Genuine Pin: The International 2015 Attendee,$ 3.24,10 on sale
Roshan's Greed Loading Screen,$ 4.16,16 on sale
Inscribed Blade of the Wandering Flame,$ 0.75,3 on sale
Inscribed Mentor of the High Plains Right Tiger Hook,$ 0.34,2 on sale
Bracelet of the Sol Guard,$ 0.33,10 on sale
Helm of the Sol Guard,$ 0.34,9 on sale
Inscribed Wuldastron the Twin-Blade of Giants,$ 0.47,3 on sale
Inscribed Councilor's Mask,$ 1.57,1 on sale
Shadows of Ravensmane Hood,$ 0.16,12 on sale
Crest of the Arctic Owlbear Clan,$ 0.37,3 on sale
True Form of the Arctic Owlbear Clan,$ 0.24,3 on sale
Treasure of the Ram's Renewal,$ 0.47,44 on sale
Inscribed Redhorn,$ 0.63,3 on sale
Auspicious Flowering Treant,$ 0.2,8 on sale
Autographed Golden Atomic Ray Thrusters,$ 5.86,19 on sale
Autographed Apogee of the Guardian Flame,$ 2.83,16 on sale
Inscribed Spooly,$ 0.45,4 on sale
The Gama Brothers,$ 1.05,6 on sale
Autographed Razzil's Midas Knuckles,$ 1.6,15 on sale
Eye of Thunderkeg,$ 2.85,2 on sale
Autographed Pale Mausoleum,$ 3.13,23 on sale
Genuine Origins of Faith,$ 4.61,10 on sale
Whispers of the Sleepless Augur,$ 1.26,2 on sale
Temple of the Fallen Sun,$ 2.45,24 on sale
Legacy of a Lost Age,$ 0.63,11 on sale
Primeval Predator,$ 1.22,15 on sale
Ritual of the Dreadborn Regent,$ 1.7,16 on sale
Mantle of the Iron Will,$ 0.83,2 on sale
Heroic Sanguine Moon Patch,$ 1.41,1 on sale
Autographed The Barren Crown,$ 0.93,16 on sale
Urushin Huntsman,$ 1.48,12 on sale
Lesser Purifier,$ 0.48,8 on sale
Greater Purifier,$ 0.46,9 on sale
Inscribed The International 2021 HUD,$ 0.32,3 on sale
Essence of the Trickster,$ 0.22,13 on sale
Autographed Smeevil's Penance,$ 0.55,5 on sale
Autographed Golden Greevil,$ 3.14,6 on sale
Genuine Doomling,$ 2.07,8 on sale
Genuine Pin: Axe,$ 0.97,4 on sale
Inscribed Excavator's Decorated Treasure,$ 0.3,2 on sale
Inscribed Champion's Belly Belt,$ 0.28,3 on sale
Heroic Wargod of the Bladekeeper,$ 1.38,4 on sale
Inscribed Sceptre of the Throne,$ 0.44,6 on sale
Announcer: Deus Ex,$ 0.61,2 on sale
Horns of the Obsidian Nightmare,$ 0.22,17 on sale
Autographed Geodesic Eidolon,$ 1.41,14 on sale
Inscribed Blade of Reckless Vigor,$ 2.36,1 on sale
